course_name,name,section,overall_grade,grade,difficulty,useful,comments,time
GEST1012,TAM KAM WENG,1,B-,B-,B,C,12,MON 08:30-09:45 & THU 08:30-09:45
GEST1014,LIAO JINFENG,1,B-,B-,B-,B-,6,MON 17:30-18:45 & THU 17:30-18:45
HIST1003,XIE JINGZHEN,1,B-,A,B+,B+,2,MON 16:00-17:15 & THU 16:00-17:15
HIST1004,JOSHUA PARR EHRLICH,1,B-,B+,B,A-,12,MON 11:30-12:45 & THU 11:30-12:45
HSCI3002,ZHAO QI,1,B-,A,A,D,1,MON 17:30-18:45 & THU 17:30-18:45
ISOM2002,CHU KUOK KUN,3,B-,B+,B-,B+,31,MON 13:00-14:15 & THU 13:00-14:15
ISOM2002,CHU KUOK KUN,4,B-,B+,B-,B+,31,MON 16:00-17:15 & THU 16:00-17:15
ISOM2002,CHU KUOK KUN,5,B-,B+,B-,B+,31,FRI 14:30-15:45 & TUE 14:30-15:45
ISOM2002,CHU KUOK KUN,6,B-,B+,B-,B+,31,FRI 16:00-17:15 & TUE 16:00-17:15
JAPN1001,QINGZHEN DENG,1,B-,B,C+,B+,4,FRI 14:30-15:45 & MON 14:30-15:45 & THU 14:30-15:45 & TUE 14:30-15:45
JAPN1001,QINGZHEN DENG,2,B-,B,C+,B+,4,FRI 16:00-17:15 & MON 16:00-17:15 & THU 16:00-17:15 & TUE 16:00-17:15
JAPN3002,LI YUZHE,1,B-,B,B,C-,7,MON 14:30-15:45 & THU 14:30-15:45
JAPN3002,LI YUZHE,2,B-,B,B,C-,7,MON 16:00-17:15 & THU 16:00-17:15
LAWS3008,CHOU KAM CHON,101,B-,F,D,B,1,
MATH2000,LUO LI,1,B-,A,A,A,1,FRI 09:00-09:50 & MON 16:00-17:15 & THU 16:00-17:15
MATH2000,LUO LI,2,B-,A,A,A,1,FRI 11:30-12:45 & TUE 11:30-12:45 & WED 10:00-10:50
MGMT3000,JAVIER CALERO CUERVO,1,B-,B+,C+,C+,26,MON 14:30-15:45 & THU 14:30-15:45
MGMT3000,JAVIER CALERO CUERVO,2,B-,B+,C+,C+,26,MON 10:00-11:15 & THU 10:00-11:15
MGMT3003,CHEN XIAOYUN,1,B-,B-,B-,B,25,TUE 10:00-12:45
MGMT3003,CHEN XIAOYUN,2,B-,B-,B-,B,25,FRI 10:00-12:45
MGMT3003,CHEN XIAOYUN,3,B-,B-,B-,B,25,TUE 16:00-18:45
MGMT3003,CHEN XIAOYUN,4,B-,B-,B-,B,25,WED 10:00-12:45
MGMT3005,LAI YUEN MAN,1,B-,A-,C+,C+,8,MON 17:30-18:45 & THU 17:30-18:45
MKTG2000,HO YING,2,B-,B+,B-,B+,31,MON 10:00-11:15 & THU 10:00-11:15
PORT1000,CHOI WENG KUAN,11,B-,B+,B+,B+,5,MON 16:00-17:15 & THU 16:00-17:15
PORT1000,CHOI WENG KUAN,12,B-,B+,B+,B+,5,FRI 14:30-15:45 & TUE 14:30-15:45
PORT1003,LU CHUNHUI,3,B-,B,B-,B,2,FRI 14:30-15:45 & MON 14:30-15:45 & THU 14:30-15:45 & TUE 14:30-15:45
PORT3004,ZHANG JIANBO,1,B-,B+,B-,A,10,MON 17:30-18:45 & THU 17:30-18:45
PSYC3004,TAO YICK KU,1,B-,B,B+,B+,4,FRI 14:30-17:15
PSYC3004,TAO YICK KU,2,B-,B,B+,B+,4,WED 10:00-12:45
PSYC4001,CHI PEILIAN,1,B-,A,C,B,1,
SOCY2000,ZHANG HUIQUAN,1,B-,B-,B,B-,14,MON 14:30-15:45 & THU 14:30-15:45
SOCY2011,SPENCER DE LI,1,B-,B,B+,B,4,FRI 17:30-18:45 & TUE 17:30-18:45
SOCY3004,HONG ZE,1,B-,B,D,B+,3,WED 10:00-12:45
BECO1001,QIAO ZHUO,3,C+,B-,C,C+,44,MON 11:30-12:45 & THU 11:30-12:45
BECO1001,QIAO ZHUO,4,C+,B-,C,C+,44,MON 17:30-18:45 & THU 17:30-18:45
BECO1001,SI TOU SIO TAN,1,C+,B,C,B,87,FRI 16:00-17:15 & TUE 16:00-17:15
BECO1001,SI TOU SIO TAN,2,C+,B,C,B,87,MON 14:30-15:45 & THU 14:30-15:45
